Date,Workout name,Set number ,Exercise name,Equipment,Number of repetitions,Charge (kg),Rest time (sec)
28-08-2023,LOWER,1,Squat,Barre,8,50,
28-08-2023,LOWER,2,Squat,Barre,8,50,
28-08-2023,LOWER,3,Squat,Barre,8,50,
28-08-2023,LOWER,4,Squat,Barre,8,50,
28-08-2023,LOWER,1,SDT jambes tendues,Haltère,8,30,
28-08-2023,LOWER,2,SDT jambes tendues,Haltère,8,30,
28-08-2023,LOWER,3,SDT jambes tendues,Haltère,8,30,
28-08-2023,LOWER,4,SDT jambes tendues,Haltère,8,30,
28-08-2023,LOWER,1,Fente uni complète sur box,Haltère,8,12,
28-08-2023,LOWER,2,Fente uni complète sur box,Haltère,8,12,
28-08-2023,LOWER,3,Fente uni complète sur box,Haltère,8,12,
28-08-2023,LOWER,4,Fente uni complète sur box,Haltère,8,12,
28-08-2023,LOWER,1,Extensions mollets uni,Haltère,10,12,
28-08-2023,LOWER,2,Extensions mollets uni,Haltère,10,12,
28-08-2023,LOWER,3,Extensions mollets uni,Haltère,10,12,
28-08-2023,LOWER,4,Extensions mollets uni,Haltère,10,12,
28-08-2023,LOWER,1,Leg extension libre uni,Machine,10,10,
28-08-2023,LOWER,2,Leg extension libre uni,Machine,12,10,
28-08-2023,LOWER,3,Leg extension libre uni,Machine,10,10,
